Point,Grayscale Value
0,179
1,190
2,193
3,204
4,204
5,208
6,206
7,197
8,184
9,150
10,141
11,107
12,102
13,90
14,42
15,37
16,21
17,23
18,31
19,41
20,37
21,50
22,62
23,78
24,89
25,85
26,83
27,80
28,80
29,73
30,75
31,83
32,93
33,102
34,129
35,148
36,148
37,184
38,212
39,233
40,246
41,253
42,249
43,239
44,239
45,232
46,217
47,203
48,193
49,187
50,182
51,176
52,165
53,162
54,153
55,150
56,149
57,153
58,158
59,166
60,170
61,175
62,177
63,178
64,181
65,185
66,179
67,175
68,175
69,174
70,171
71,166
