Point,u_eq Value
0,45627.450980392154
1,48431.37254901961
2,49196.078431372545
3,52000.0
4,52000.0
5,53019.60784313725
6,52509.80392156863
7,50215.686274509804
8,46901.96078431373
9,38235.29411764706
10,35941.17647058824
11,27274.50980392157
12,26000.0
13,22941.176470588238
14,10705.882352941177
15,9431.372549019608
16,5352.941176470588
17,5862.745098039216
18,7901.9607843137255
19,10450.980392156864
20,9431.372549019608
21,12745.098039215685
22,15803.921568627451
23,19882.352941176472
24,22686.27450980392
25,21666.666666666664
26,21156.86274509804
27,20392.156862745098
28,20392.156862745098
29,18607.843137254902
30,19117.64705882353
31,21156.86274509804
32,23705.882352941175
33,26000.0
34,32882.35294117647
35,37725.490196078434
36,37725.490196078434
37,46901.96078431373
38,54039.21568627451
39,59392.1568627451
40,62705.882352941175
41,64490.19607843138
42,63470.58823529412
43,60921.56862745098
44,60921.56862745098
45,59137.25490196078
46,55313.72549019608
47,51745.098039215685
48,49196.078431372545
49,47666.666666666664
50,46392.1568627451
51,44862.74509803922
52,42058.82352941177
53,41294.11764705882
54,39000.0
55,38235.29411764706
56,37980.39215686275
57,39000.0
58,40274.509803921566
59,42313.72549019608
60,43333.33333333333
61,44607.8431372549
62,45117.647058823524
63,45372.54901960784
64,46137.25490196078
65,47156.862745098035
66,45627.450980392154
67,44607.8431372549
68,44607.8431372549
69,44352.94117647059
70,43588.23529411764
71,42313.72549019608
