Distance,Grayscale Value
0.0,179
1.0327619737794917,196
2.0655239475589835,198
3.0982859213384755,204
4.131047895117967,208
5.1638098688974585,205
6.196571842676951,197
7.2293338164564425,184
8.262095790235934,148
9.294857764015426,139
10.327619737794917,102
11.360381711574409,90
12.393143685353902,37
13.425905659133393,34
14.458667632912885,21
15.491429606692376,23
16.524191580471868,28
17.55695355425136,37
18.58971552803085,50
19.622477501810344,62
20.655239475589834,74
21.688001449369327,83
22.720763423148817,85
23.75352539692831,83
24.786287370707804,75
25.819049344487293,73
26.851811318266787,75
27.884573292046277,83
28.91733526582577,92
29.95009723960526,102
30.982859213384753,129
32.01562118716424,148
33.048383160943736,196
34.08114513472323,212
35.11390710850272,233
36.14666908228221,248
37.1794310560617,254
38.212193029841195,249
39.24495500362069,239
40.277716977400175,232
41.31047895117967,217
42.34324092495916,203
43.376002898738655,193
44.40876487251815,176
45.441526846297634,170
46.47428882007713,165
47.50705079385662,162
48.539812767636114,150
49.57257474141561,147
50.605336715195094,149
51.63809868897459,153
52.67086066275408,163
53.703622636533574,170
54.73638461031306,175
55.76914658409255,177
56.801908557872046,180
57.83467053165154,184
58.86743250543103,185
59.90019447921052,179
60.93295645299001,179
61.965718426769506,174
62.998480400549,171
64.03124237432849,166
