distance,u_eq
0.000000,45627.450980
0.900000,48431.372549
2.012461,50470.588235
2.846050,52000.000000
3.710795,53019.607843
4.589118,52509.803922
5.692100,50215.686275
6.552099,46901.960784
7.421590,38235.294118
8.297590,35941.176471
9.396276,26000.000000
10.261579,22941.176471
11.132385,10705.882353
12.007498,9431.372549
13.104198,5352.941176
13.971757,5862.745098
14.843180,7901.960784
15.717824,10450.980392
16.813388,12745.098039
17.682194,15803.921569
18.553975,19882.352941
19.428330,22686.274510
20.523158,21666.666667
21.392756,21156.862745
22.264770,20392.156863
23.138928,20137.254902
24.233242,19117.647059
25.103386,21156.862745
25.975565,23705.882353
26.849581,26000.000000
27.943514,32882.352941
28.814059,37725.490196
29.686361,46901.960784
30.784736,54039.215686
31.653910,59392.156863
32.524760,62705.882353
33.397156,64490.196078
34.494782,63470.588235
35.364389,60921.568627
36.235480,59137.254902
37.107951,55313.725490
38.204973,51745.098039
39.074928,49196.078431
39.946214,47666.666667
40.818746,46392.156863
41.915272,42058.823529
42.785512,41294.117647
43.656958,39000.000000
44.529541,38235.294118
45.625651,37980.392157
46.496129,39000.000000
47.367711,40274.509804
48.240336,42313.725490
49.336092,44607.843137
50.206772,45117.647059
51.078469,45372.549020
51.951131,46137.254902
53.046583,47156.862745
53.917437,45627.450980
54.789233,44607.843137
55.661926,43588.235294
56.757114,43588.235294
57.628118,42313.725490
