Distance,u_eq
0.0000,45627.45
1.2000,48431.38
2.8971,50470.59
4.0971,52000.00
5.2971,53019.61
6.4971,52509.80
8.1941,50215.69
9.3941,46901.96
10.5941,38235.30
11.7941,35941.18
13.4912,26000.00
14.6912,22941.18
15.8912,10705.88
17.0912,9431.37
18.7882,5352.94
19.9882,5862.75
21.1882,7901.96
22.3882,10450.98
24.0853,12745.10
25.2853,15803.92
26.4853,19882.35
27.6853,22686.28
29.3823,21666.67
30.5823,21156.86
31.7823,20392.16
32.9823,20137.26
34.6794,19117.65
35.8794,21156.86
37.0794,23705.88
38.2794,26000.00
39.9765,32882.36
41.1765,37725.49
42.3765,46901.96
44.0735,54039.21
45.2735,59392.16
46.4735,62705.88
47.6735,64490.20
49.3706,63470.59
50.5706,60921.57
51.7706,59137.25
52.9706,55313.73
54.6676,51745.10
55.8676,49196.08
57.0676,47666.67
58.2676,46392.16
59.9647,42058.82
61.1647,41294.12
62.3647,39000.00
63.5647,38235.30
65.2617,37980.39
66.4617,39000.00
67.6617,40274.51
68.8617,42313.73
70.5588,44607.84
71.7588,45117.65
72.9588,45372.55
74.1588,46137.26
75.8558,47156.86
77.0558,45627.45
78.2558,44607.84
79.4558,43588.24
81.1529,43588.24
82.3529,42313.73
