Distance(um),u_eq
0.0000, 46003.0
1.0800, 48830.0
2.4150, 50886.0
3.4153, 52428.0
4.4530, 53456.0
5.5069, 52942.0
6.8305, 50629.0
7.8625, 47288.0
8.9059, 38550.0
9.9571, 36237.0
11.2755, 26214.0
12.3139, 23130.0
13.3589, 10794.0
14.6896, 8738.0
15.7250, 5397.0
16.7661, 5911.0
17.8118, 7967.0
19.1376, 9509.0
20.1761, 12850.0
21.2186, 15934.0
22.2648, 20046.0
23.5876, 21331.0
24.6278, 21845.0
25.6713, 21331.0
26.7177, 20560.0
28.0384, 18761.0
29.0799, 19275.0
30.1241, 21331.0
31.4501, 23644.0
32.4899, 26214.0
33.5322, 33153.0
34.5769, 38036.0
35.9009, 50372.0
36.9417, 54484.0
37.9847, 59881.0
39.0297, 63222.0
40.3521, 65278.0
41.3937, 63993.0
42.4373, 61423.0
43.7633, 59624.0
44.8037, 55769.0
45.8460, 52171.0
46.8899, 49601.0
48.2145, 45232.0
49.2556, 43690.0
50.2983, 42405.0
51.3426, 41634.0
52.6659, 38550.0
53.7076, 37779.0
54.7508, 38293.0
55.7954, 39321.0
57.1176, 41891.0
58.1598, 43690.0
59.2033, 44975.0
60.5282, 46003.0
61.5695, 46260.0
62.6121, 47288.0
63.6559, 47545.0
64.9798, 46774.0
66.0215, 46003.0
67.0644, 44718.0
68.1085, 43947.0
69.4315, 46774.0
70.4736, 45489.0
