Distance(um),u_eq
0.0000,46003.00
1.0800,48830.00
2.4150,50886.00
3.4153,52428.00
4.4530,53456.00
5.5069,52942.00
6.8305,50629.00
7.8625,47288.00
8.9059,38550.00
9.9571,36237.00
11.2755,26214.00
12.3139,23130.00
13.3589,10794.00
14.6896,8738.00
15.7250,5397.00
16.7661,5911.00
17.8118,7967.00
19.1376,9509.00
20.1761,12850.00
21.2186,15934.00
22.2648,20046.00
23.5876,21331.00
24.6278,21845.00
25.6713,21331.00
26.7177,20560.00
28.0384,18761.00
29.0799,19275.00
30.1241,21331.00
31.4501,23644.00
32.4899,26214.00
33.5322,33153.00
34.5769,38036.00
35.9009,50372.00
36.9417,54484.00
37.9847,59881.00
39.0297,63222.00
40.3521,65278.00
41.3937,63993.00
42.4373,61423.00
43.7633,59624.00
44.8037,55769.00
45.8460,52171.00
46.8899,49601.00
48.2145,45232.00
49.2556,43690.00
50.2983,42405.00
51.3426,41634.00
52.6659,38550.00
53.7076,37779.00
54.7508,38293.00
55.7954,39321.00
57.1176,41891.00
58.1598,43690.00
59.2033,44975.00
60.5282,46003.00
61.5695,46260.00
62.6121,47288.00
63.6559,47545.00
64.9798,46774.00
66.0215,46003.00
67.0644,44718.00
68.1085,43947.00
69.4315,46774.00
70.4736,45489.00
