# Distance(um),u_eq
0.000000,46003.000000
1.080000,48830.000000
2.607351,50886.000000
3.687351,52428.000000
4.767351,53456.000000
5.847351,52942.000000
7.374701,50629.000000
8.454701,47288.000000
9.534701,38550.000000
10.614701,36237.000000
12.142052,26214.000000
13.222052,23130.000000
14.302052,10794.000000
15.829403,8738.000000
16.909403,5397.000000
17.989403,5911.000000
19.069403,7967.000000
20.596753,9509.000000
21.676753,12850.000000
22.756753,15934.000000
23.836753,20046.000000
25.364104,21331.000000
26.444104,21845.000000
27.524104,21331.000000
28.604104,20560.000000
30.131455,18761.000000
31.211455,19275.000000
32.291455,21331.000000
33.818805,23644.000000
34.898805,26214.000000
35.978805,33153.000000
37.058805,38036.000000
38.586156,50372.000000
39.666156,54484.000000
40.746156,59881.000000
41.826156,63222.000000
43.353506,65278.000000
44.433506,63993.000000
45.513506,61423.000000
47.040857,59624.000000
48.120857,55769.000000
49.200857,52171.000000
50.280857,49601.000000
51.808208,45232.000000
52.888208,43690.000000
53.968208,42405.000000
55.048208,41634.000000
56.575558,38550.000000
57.655558,37779.000000
58.735558,38293.000000
59.815558,39321.000000
61.342909,41891.000000
62.422909,43690.000000
63.502909,44975.000000
65.030260,46003.000000
66.110260,46260.000000
67.190260,47288.000000
68.270260,47545.000000
69.797610,46774.000000
70.877610,46003.000000
71.957610,44718.000000
73.037610,43947.000000
74.564961,46774.000000
75.644961,45489.000000
