index,x,y,gray_value
0,152,29,179
1,152,30,190
2,151,31,198
3,151,32,204
4,151,33,208
5,151,34,206
6,150,35,197
7,150,36,184
8,150,37,150
9,150,38,141
10,149,39,102
11,149,40,90
12,149,41,42
13,149,42,37
14,148,43,21
15,148,44,23
16,148,45,31
17,148,46,41
18,147,47,50
19,147,48,62
20,147,49,78
21,147,50,89
22,146,51,85
23,146,52,83
24,146,53,80
25,146,54,79
26,145,55,75
27,145,56,83
28,145,57,93
29,145,58,102
30,144,59,129
31,144,60,148
32,144,61,184
33,143,62,212
34,143,63,233
35,143,64,246
36,143,65,253
37,142,66,249
38,142,67,239
39,142,68,232
40,142,69,217
41,141,70,203
42,141,71,193
43,141,72,187
44,141,73,182
45,140,74,165
46,140,75,162
47,140,76,153
48,140,77,150
49,139,78,149
50,139,79,153
51,139,80,158
52,139,81,166
53,138,82,175
54,138,83,177
55,138,84,178
56,138,85,181
57,137,86,185
58,137,87,179
59,137,88,175
60,137,89,171
61,136,90,171
62,136,91,166
