x,y,gray_value
152,29,179
152,30,190
151,31,198
151,32,204
151,33,208
151,34,206
150,35,197
150,36,184
150,37,150
150,38,141
149,39,102
149,40,90
149,41,42
148,42,34
148,43,21
148,44,23
148,45,31
147,46,37
147,47,50
147,48,62
147,49,78
146,50,83
146,51,85
146,52,83
146,53,80
145,54,73
145,55,75
145,56,83
144,57,92
144,58,102
144,59,129
144,60,148
143,61,196
143,62,212
143,63,233
143,64,246
142,65,254
142,66,249
142,67,239
141,68,232
141,69,217
141,70,203
141,71,193
140,72,176
140,73,170
140,74,165
140,75,162
139,76,150
139,77,147
139,78,149
139,79,153
138,80,163
138,81,170
138,82,175
137,83,179
137,84,180
137,85,184
137,86,185
136,87,182
136,88,179
136,89,174
136,90,171
135,91,182
135,92,177
