Distance(um),u_eq
0.0000,46003.0000
1.0800,48830.0000
2.1600,50886.0000
3.2400,52428.0000
4.3200,53456.0000
5.4000,52942.0000
6.4800,50629.0000
7.5600,47288.0000
8.6400,38550.0000
9.7200,36237.0000
10.8000,26214.0000
11.8800,23130.0000
12.9600,10794.0000
14.0400,8738.0000
15.1200,5397.0000
16.2000,5911.0000
17.2800,7967.0000
18.3600,9509.0000
19.4400,12850.0000
20.5200,15934.0000
21.6000,20046.0000
22.6800,21331.0000
23.7600,21845.0000
24.8400,21331.0000
25.9200,20560.0000
27.0000,18761.0000
28.0800,19275.0000
29.1600,21331.0000
30.2400,23644.0000
31.3200,26214.0000
32.4000,33153.0000
33.4800,38036.0000
34.5600,50372.0000
35.6400,54484.0000
36.7200,59881.0000
37.8000,63222.0000
38.8800,65278.0000
39.9600,63993.0000
41.0400,61423.0000
42.1200,59624.0000
43.2000,55769.0000
44.2800,52171.0000
45.3600,49601.0000
46.4400,45232.0000
47.5200,43690.0000
48.6000,42405.0000
49.6800,41634.0000
50.7600,38550.0000
51.8400,37779.0000
52.9200,38293.0000
54.0000,39321.0000
55.0800,41891.0000
56.1600,43690.0000
57.2400,44975.0000
58.3200,46003.0000
59.4000,46260.0000
60.4800,47288.0000
61.5600,47545.0000
62.6400,46774.0000
63.7200,46003.0000
64.8000,44718.0000
65.8800,43947.0000
66.9600,46774.0000
68.0400,45489.0000
