Index,X,Y,GrayValue
0,152,29,179
1,152,30,190
2,151,31,198
3,151,32,204
4,151,33,208
5,151,34,206
6,150,35,197
7,150,36,184
8,150,37,150
9,150,38,141
10,149,39,102
11,149,40,90
12,149,41,42
13,148,42,34
14,148,43,21
15,148,44,23
16,148,45,31
17,147,46,37
18,147,47,50
19,147,48,62
20,147,49,78
21,146,50,83
22,146,51,85
23,146,52,83
24,146,53,80
25,145,54,73
26,145,55,75
27,145,56,83
28,144,57,92
29,144,58,102
30,144,59,129
31,144,60,148
32,143,61,196
33,143,62,212
34,143,63,233
35,143,64,246
36,142,65,254
37,142,66,249
38,142,67,239
39,141,68,232
40,141,69,217
41,141,70,203
42,141,71,193
43,140,72,176
44,140,73,170
45,140,74,165
46,140,75,162
47,139,76,150
48,139,77,147
49,139,78,149
50,139,79,153
51,138,80,163
52,138,81,170
53,138,82,175
54,137,83,179
55,137,84,180
56,137,85,184
57,137,86,185
58,136,87,182
59,136,88,179
60,136,89,174
61,136,90,171
62,135,91,182
63,135,92,177
