distance_um,u_eq
0.000,46003.000
1.080,48830.000
2.415,50886.000
3.415,52428.000
4.453,53456.000
5.507,52942.000
6.831,50629.000
7.863,47288.000
8.906,38550.000
9.957,36237.000
11.276,26214.000
12.314,23130.000
13.359,10794.000
14.690,8738.000
15.725,5397.000
16.766,5911.000
17.812,7967.000
19.138,9509.000
20.176,12850.000
21.219,15934.000
22.265,20046.000
23.588,21331.000
24.628,21845.000
25.671,21331.000
26.718,20560.000
28.038,18761.000
29.080,19275.000
30.124,21331.000
31.450,23644.000
32.490,26214.000
33.532,33153.000
34.577,38036.000
35.901,50372.000
36.942,54484.000
37.985,59881.000
39.030,63222.000
40.352,65278.000
41.394,63993.000
42.437,61423.000
43.763,59624.000
44.804,55769.000
45.846,52171.000
46.890,49601.000
48.214,45232.000
49.256,43690.000
50.298,42405.000
51.343,41634.000
52.666,38550.000
53.708,37779.000
54.751,38293.000
55.795,39321.000
57.118,41891.000
58.160,43690.000
59.203,44975.000
60.528,46003.000
61.569,46260.000
62.612,47288.000
63.656,47545.000
64.980,46774.000
66.021,46003.000
67.064,44718.000
68.109,43947.000
69.431,46774.000
70.474,45489.000
