x,y,distance_um,gray_value
152,29,0.000,179
152,30,1.080,190
151,31,2.415,198
151,32,3.415,204
151,33,4.453,208
151,34,5.507,206
150,35,6.831,197
150,36,7.863,184
150,37,8.906,150
150,38,9.957,141
149,39,11.276,102
149,40,12.314,90
149,41,13.359,42
148,42,14.690,34
148,43,15.725,21
148,44,16.766,23
148,45,17.812,31
147,46,19.138,37
147,47,20.176,50
147,48,21.219,62
147,49,22.265,78
146,50,23.588,83
146,51,24.628,85
146,52,25.671,83
146,53,26.718,80
145,54,28.038,73
145,55,29.080,75
145,56,30.124,83
144,57,31.450,92
144,58,32.490,102
144,59,33.532,129
144,60,34.577,148
143,61,35.901,196
143,62,36.942,212
143,63,37.985,233
143,64,39.030,246
142,65,40.352,254
142,66,41.394,249
142,67,42.437,239
141,68,43.763,232
141,69,44.804,217
141,70,45.846,203
141,71,46.890,193
140,72,48.214,176
140,73,49.256,170
140,74,50.298,165
140,75,51.343,162
139,76,52.666,150
139,77,53.708,147
139,78,54.751,149
139,79,55.795,153
138,80,57.118,163
138,81,58.160,170
138,82,59.203,175
137,83,60.528,179
137,84,61.569,180
137,85,62.612,184
137,86,63.656,185
136,87,64.980,182
136,88,66.021,179
136,89,67.064,174
136,90,68.109,171
135,91,69.431,182
135,92,70.474,177
